Timestamp(s),HostId,No# Tasks running,cpuUsage(CPU usage of all CPUs of the host in MHz),energyUsage(Power usage of the host in W)
10,00000000-0000-0000-0000-000000000009,0,1960.0,522
10,00000000-0000-0000-0000-00000000000b,0,0.0,500
10,00000000-0000-0000-0000-000000000001,0,0.0,500
10,00000000-0000-0000-0000-000000000003,0,0.0,500
10,00000000-0000-0000-0000-000000000008,0,0.0,500
10,00000000-0000-0000-0000-000000000005,0,0.0,500
10,00000000-0000-0000-0000-000000000004,0,0.0,500
10,00000000-0000-0000-0000-000000000006,0,0.0,500
10,00000000-0000-0000-0000-000000000002,0,0.0,500
10,00000000-0000-0000-0000-00000000000a,0,0.0,500
10,00000000-0000-0000-0000-000000000007,0,0.0,500
10,00000000-0000-0000-0000-000000000000,0,0.0,500
20,00000000-0000-0000-0000-000000000009,0,1960.0,524
20,00000000-0000-0000-0000-00000000000b,0,0.0,500
20,00000000-0000-0000-0000-000000000001,0,0.0,500
20,00000000-0000-0000-0000-000000000003,0,0.0,500
20,00000000-0000-0000-0000-000000000008,0,0.0,500
20,00000000-0000-0000-0000-000000000005,0,0.0,500
20,00000000-0000-0000-0000-000000000004,0,0.0,500
20,00000000-0000-0000-0000-000000000006,0,0.0,500
20,00000000-0000-0000-0000-000000000002,0,0.0,500
20,00000000-0000-0000-0000-00000000000a,0,0.0,500
20,00000000-0000-0000-0000-000000000007,0,0.0,500
20,00000000-0000-0000-0000-000000000000,0,0.0,500
30,00000000-0000-0000-0000-000000000009,0,1960.0,525
30,00000000-0000-0000-0000-00000000000b,0,0.0,500
30,00000000-0000-0000-0000-000000000001,0,0.0,500
30,00000000-0000-0000-0000-000000000003,0,0.0,500
30,00000000-0000-0000-0000-000000000008,0,0.0,500
30,00000000-0000-0000-0000-000000000005,0,0.0,500
30,00000000-0000-0000-0000-000000000004,0,0.0,500
30,00000000-0000-0000-0000-000000000006,0,0.0,500
30,00000000-0000-0000-0000-000000000002,0,0.0,500
30,00000000-0000-0000-0000-00000000000a,0,0.0,500
30,00000000-0000-0000-0000-000000000007,0,0.0,500
30,00000000-0000-0000-0000-000000000000,0,0.0,500
40,00000000-0000-0000-0000-000000000009,0,1960.0,525
40,00000000-0000-0000-0000-00000000000b,0,0.0,500
40,00000000-0000-0000-0000-000000000001,0,0.0,500
40,00000000-0000-0000-0000-000000000003,0,0.0,500
40,00000000-0000-0000-0000-000000000008,0,0.0,500
40,00000000-0000-0000-0000-000000000005,0,0.0,500
40,00000000-0000-0000-0000-000000000004,0,0.0,500
40,00000000-0000-0000-0000-000000000006,0,0.0,500
40,00000000-0000-0000-0000-000000000002,0,0.0,500
40,00000000-0000-0000-0000-00000000000a,0,0.0,500
40,00000000-0000-0000-0000-000000000007,0,0.0,500
40,00000000-0000-0000-0000-000000000000,0,0.0,500
50,00000000-0000-0000-0000-000000000009,0,123480.0,524
50,00000000-0000-0000-0000-00000000000b,0,125440.0,519
50,00000000-0000-0000-0000-000000000001,0,125440.0,519
50,00000000-0000-0000-0000-000000000003,0,3920.0,519
50,00000000-0000-0000-0000-000000000008,0,0.0,500
50,00000000-0000-0000-0000-000000000005,0,0.0,500
50,00000000-0000-0000-0000-000000000004,0,0.0,500
50,00000000-0000-0000-0000-000000000006,0,0.0,500
50,00000000-0000-0000-0000-000000000002,0,0.0,500
50,00000000-0000-0000-0000-00000000000a,0,0.0,500
50,00000000-0000-0000-0000-000000000007,0,0.0,500
50,00000000-0000-0000-0000-000000000000,0,0.0,500
60,00000000-0000-0000-0000-000000000009,0,123480.0,525
60,00000000-0000-0000-0000-00000000000b,0,125440.0,525
60,00000000-0000-0000-0000-000000000001,0,125440.0,525
60,00000000-0000-0000-0000-000000000003,0,3920.0,525
60,00000000-0000-0000-0000-000000000008,0,0.0,500
60,00000000-0000-0000-0000-000000000005,0,0.0,500
60,00000000-0000-0000-0000-000000000004,0,0.0,500
60,00000000-0000-0000-0000-000000000006,0,0.0,500
60,00000000-0000-0000-0000-000000000002,0,0.0,500
60,00000000-0000-0000-0000-00000000000a,0,0.0,500
60,00000000-0000-0000-0000-000000000007,0,0.0,500
60,00000000-0000-0000-0000-000000000000,0,0.0,500
70,00000000-0000-0000-0000-000000000009,0,123480.0,525
70,00000000-0000-0000-0000-00000000000b,0,125440.0,525
70,00000000-0000-0000-0000-000000000001,0,125440.0,525
70,00000000-0000-0000-0000-000000000003,0,3920.0,525
70,00000000-0000-0000-0000-000000000008,0,0.0,500
70,00000000-0000-0000-0000-000000000005,0,0.0,500
70,00000000-0000-0000-0000-000000000004,0,0.0,500
70,00000000-0000-0000-0000-000000000006,0,0.0,500
70,00000000-0000-0000-0000-000000000002,0,0.0,500
70,00000000-0000-0000-0000-00000000000a,0,0.0,500
70,00000000-0000-0000-0000-000000000007,0,0.0,500
70,00000000-0000-0000-0000-000000000000,0,0.0,500
80,00000000-0000-0000-0000-000000000009,0,123480.0,525
80,00000000-0000-0000-0000-00000000000b,0,125440.0,525
80,00000000-0000-0000-0000-000000000001,0,125440.0,525
80,00000000-0000-0000-0000-000000000003,0,3920.0,525
80,00000000-0000-0000-0000-000000000008,0,0.0,500
80,00000000-0000-0000-0000-000000000005,0,0.0,500
80,00000000-0000-0000-0000-000000000004,0,0.0,500
80,00000000-0000-0000-0000-000000000006,0,0.0,500
80,00000000-0000-0000-0000-000000000002,0,0.0,500
80,00000000-0000-0000-0000-00000000000a,0,0.0,500
80,00000000-0000-0000-0000-000000000007,0,0.0,500
80,00000000-0000-0000-0000-000000000000,0,0.0,500
90,00000000-0000-0000-0000-000000000009,0,123480.0,525
90,00000000-0000-0000-0000-00000000000b,0,125440.0,525
90,00000000-0000-0000-0000-000000000001,0,125440.0,525
90,00000000-0000-0000-0000-000000000003,0,3920.0,525
90,00000000-0000-0000-0000-000000000008,0,0.0,500
90,00000000-0000-0000-0000-000000000005,0,0.0,500
90,00000000-0000-0000-0000-000000000004,0,0.0,500
90,00000000-0000-0000-0000-000000000006,0,0.0,500
90,00000000-0000-0000-0000-000000000002,0,0.0,500
90,00000000-0000-0000-0000-00000000000a,0,0.0,500
90,00000000-0000-0000-0000-000000000007,0,0.0,500
90,00000000-0000-0000-0000-000000000000,0,0.0,500
100,00000000-0000-0000-0000-000000000009,0,123480.0,525
100,00000000-0000-0000-0000-00000000000b,0,125440.0,525
100,00000000-0000-0000-0000-000000000001,0,125440.0,525
100,00000000-0000-0000-0000-000000000003,0,3920.0,525
100,00000000-0000-0000-0000-000000000008,0,0.0,500
100,00000000-0000-0000-0000-000000000005,0,0.0,500
100,00000000-0000-0000-0000-000000000004,0,0.0,500
100,00000000-0000-0000-0000-000000000006,0,0.0,500
100,00000000-0000-0000-0000-000000000002,0,0.0,500
100,00000000-0000-0000-0000-00000000000a,0,0.0,500
100,00000000-0000-0000-0000-000000000007,0,0.0,500
100,00000000-0000-0000-0000-000000000000,0,0.0,500
110,00000000-0000-0000-0000-000000000009,0,123480.0,525
110,00000000-0000-0000-0000-00000000000b,0,125440.0,525
110,00000000-0000-0000-0000-000000000001,0,115640.0,1507
110,00000000-0000-0000-0000-000000000003,0,0.0,508
110,00000000-0000-0000-0000-000000000008,0,0.0,500
110,00000000-0000-0000-0000-000000000005,0,0.0,500
110,00000000-0000-0000-0000-000000000004,0,0.0,500
110,00000000-0000-0000-0000-000000000006,0,0.0,500
110,00000000-0000-0000-0000-000000000002,0,0.0,500
110,00000000-0000-0000-0000-00000000000a,0,0.0,500
110,00000000-0000-0000-0000-000000000007,0,0.0,500
110,00000000-0000-0000-0000-000000000000,0,0.0,500
120,00000000-0000-0000-0000-000000000009,0,123480.0,525
120,00000000-0000-0000-0000-00000000000b,0,125440.0,525
120,00000000-0000-0000-0000-000000000001,0,115640.0,1975
120,00000000-0000-0000-0000-000000000003,0,0.0,500
120,00000000-0000-0000-0000-000000000008,0,0.0,500
120,00000000-0000-0000-0000-000000000005,0,0.0,500
120,00000000-0000-0000-0000-000000000004,0,0.0,500
120,00000000-0000-0000-0000-000000000006,0,0.0,500
120,00000000-0000-0000-0000-000000000002,0,0.0,500
120,00000000-0000-0000-0000-00000000000a,0,0.0,500
120,00000000-0000-0000-0000-000000000007,0,0.0,500
120,00000000-0000-0000-0000-000000000000,0,0.0,500
130,00000000-0000-0000-0000-000000000009,0,123480.0,525
130,00000000-0000-0000-0000-00000000000b,0,125440.0,525
130,00000000-0000-0000-0000-000000000001,0,62720.0,1555
130,00000000-0000-0000-0000-000000000003,0,0.0,500
130,00000000-0000-0000-0000-000000000008,0,0.0,500
130,00000000-0000-0000-0000-000000000005,0,0.0,500
130,00000000-0000-0000-0000-000000000004,0,0.0,500
130,00000000-0000-0000-0000-000000000006,0,0.0,500
130,00000000-0000-0000-0000-000000000002,0,0.0,500
130,00000000-0000-0000-0000-00000000000a,0,0.0,500
130,00000000-0000-0000-0000-000000000007,0,0.0,500
130,00000000-0000-0000-0000-000000000000,0,0.0,500
140,00000000-0000-0000-0000-000000000009,0,123480.0,525
140,00000000-0000-0000-0000-00000000000b,0,125440.0,525
140,00000000-0000-0000-0000-000000000001,0,62720.0,1300
140,00000000-0000-0000-0000-000000000003,0,0.0,500
140,00000000-0000-0000-0000-000000000008,0,0.0,500
140,00000000-0000-0000-0000-000000000005,0,0.0,500
140,00000000-0000-0000-0000-000000000004,0,0.0,500
140,00000000-0000-0000-0000-000000000006,0,0.0,500
140,00000000-0000-0000-0000-000000000002,0,0.0,500
140,00000000-0000-0000-0000-00000000000a,0,0.0,500
140,00000000-0000-0000-0000-000000000007,0,0.0,500
140,00000000-0000-0000-0000-000000000000,0,0.0,500
150,00000000-0000-0000-0000-000000000009,0,123480.0,525
150,00000000-0000-0000-0000-00000000000b,0,119560.0,1117
150,00000000-0000-0000-0000-000000000001,0,0.0,986
150,00000000-0000-0000-0000-000000000003,0,0.0,500
150,00000000-0000-0000-0000-000000000008,0,0.0,500
150,00000000-0000-0000-0000-000000000005,0,0.0,500
150,00000000-0000-0000-0000-000000000004,0,0.0,500
150,00000000-0000-0000-0000-000000000006,0,0.0,500
150,00000000-0000-0000-0000-000000000002,0,0.0,500
150,00000000-0000-0000-0000-00000000000a,0,0.0,500
150,00000000-0000-0000-0000-000000000007,0,0.0,500
150,00000000-0000-0000-0000-000000000000,0,0.0,500
160,00000000-0000-0000-0000-000000000009,0,123480.0,524
160,00000000-0000-0000-0000-00000000000b,0,119560.0,2025
160,00000000-0000-0000-0000-000000000001,0,0.0,500
160,00000000-0000-0000-0000-000000000003,0,0.0,500
160,00000000-0000-0000-0000-000000000008,0,0.0,500
160,00000000-0000-0000-0000-000000000005,0,0.0,500
160,00000000-0000-0000-0000-000000000004,0,0.0,500
160,00000000-0000-0000-0000-000000000006,0,0.0,500
